Ticker,Company Name,Sector,Industry Group,Country,Dividend Yield,Dividend Payout Ratio,Last
A,Agilent Technologies Inc,Healthcare,Medical Laboratories & Research,United States of America,0.006383,0.253801,116.14
AAON,AAON Inc,Industrial Goods,General Building Materials,United States of America,0.005273,0.250794,72.7
AAP,Advance Auto Parts Inc,Services,Auto Parts Stores,United States of America,0.006041,0.114289,171.36
AAPL,Apple Inc,Consumer Goods,Electronic Equipment,United States of America,0.006826,0.221414,121.41
AAT,American Assets Trust Inc,Financial,REIT - Retail,United States of America,0.029568,1.074941,34.59
AB,AllianceBernstein Holding LP,Financial,Asset Management,United States of America,0.079813,0.969579,37.42
ABBV,AbbVie Inc,Healthcare,Drug Manufacturers - Major,United States of America,0.045812,1.669407,106.65
ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,United States of America,0.012034,0.15911,50.38
ABM,ABM Industries Inc,Services,Business Services,United States of America,0.016764,164.333333,46.25
ABR,Arbor Realty Trust Inc,Financial,REIT - Diversified,United States of America,0.079146,0.882502,15.68
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,United States of America,0.013189,0.569522,117.23
ABTX,Allegiance Bancshares Inc,Financial,Regional - Mid-Atlantic Banks,United States of America,0.010731,0.140022,39.61
ACCO,ACCO Brands Corp,Consumer Goods,Office Supplies,United States of America,0.030916,0.396774,8.4
ACI,Albertsons Companies Inc,Services,Grocery Stores,United States of America,0.011154,0.078799,17.77
ACNB,ACNB Corp,Financial,Regional - Southwest  Banks,United States of America,0.034002,0.503957,31.19
ACRE,Ares Commercial Real Estate Corp,Financial,REIT - Diversified,United States of America,0.09621,1.958104,14.03
ACU,Acme United Corp,Consumer Goods,Housewares & Accessories,United States of America,0.012929,0.227111,35.71
ADC,Agree Realty Corp,Financial,Property Management,United States of America,0.044703,1.27143,64.4
ADM,Archer Daniels Midland Co,Consumer Goods,Farm Products,United States of America,0.026131,0.453984,57.57
ADS,Alliance Data Systems Corp,Services,Business Services,United States of America,0.008634,0.283575,103.72
ADTN,ADTRAN Inc,Technology,Communication Equipment,United States of America,0.022209,7.289319,16.54
AEE,Ameren Corp,Utilities,Electric Utilities,United States of America,0.028098,0.563284,72.88
AEL,American Equity Investment Life Holding Co,Financial,Life Insurance,United States of America,0.011061,0.092893,29.75
AEP,American Electric Power Company Inc,Utilities,Electric Utilities,United States of America,0.037282,0.648655,78.9
AES,AES Corp,Utilities,Electric Utilities,United States of America,0.022427,5.282895,26
AFG,American Financial Group Inc,Financial,Property & Casualty Insurance,United States of America,0.035721,0.463245,113.36
AFL,Aflac Inc,Financial,Accident & Health Insurance,United States of America,0.024174,0.160946,49.95
AGCO,AGCO Corp,Industrial Goods,Farm & Construction Machinery,United States of America,0.005089,0.121725,133.38
AGM,Federal Agricultural Mortgage Corp,Financial,Credit Services,United States of America,0.036735,0.466175,90.44
AGR,Avangrid Inc,Utilities,Gas Utilities,United States of America,0.038715,1.020408,46.07
AHH,Armada Hoffler Properties Inc,Financial,REIT - Diversified,United States of America,0.033872,1.287995,13.31
AIN,Albany International Corp,Industrial Goods,Textile Industrial,United States of America,0.008889,0.252645,87.96
AIZ,Assurant Inc,Financial,Accident & Health Insurance,United States of America,0.020144,0.391461,131.95
AJG,Arthur J Gallagher & Co,Financial,Insurance Brokers,United States of America,0.015179,0.503205,124.17
AJX,Great Ajax Corp,Financial,REIT - Diversified,United States of America,0.072999,0.713466,11.76
AL,Air Lease Corp,Services,Rental & Leasing Services,United States of America,0.012794,0.161851,47.95
ALB,Albemarle Corp,Basic Materials,Specialty Chemicals,United States of America,0.010883,0.434108,143.86
ALCO,Alico Inc,Consumer Goods,Farm Products,United States of America,0.015448,0.101127,30.01
ALE,ALLETE Inc,Utilities,Diversified Utilities,United States of America,0.039386,0.793317,63.59
ALEX,Alexander & Baldwin Inc,Financial,Real Estate Development,United States of America,0.019814,2.653846,17.81
ALG,Alamo Group Inc,Industrial Goods,Farm & Construction Machinery,United States of America,0.003503,0.108141,155.01
ALL,Allstate Corp,Financial,Property & Casualty Insurance,United States of America,0.022222,0.139168,111.71
ALLY,Ally Financial Inc,Financial,Mortgage Investment,United States of America,0.017642,0.266359,43.98
ALPpQ,Alabama Power Co,,,United States of America,0.047438,0.976474,26.35
ALRS,Alerus Financial Corp,,,United States of America,0.02069,0.246441,30.29
